FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
DESTINATION^0^DIC(.2,^^
KEY^134^DD("KEY",^22.2^90
PRINT TEMPLATE^1276^DIPT(^22.2^1563
SORT TEMPLATE^784^DIBT(^22.2^935
INPUT TEMPLATE^1553^DIE(^22.2^1801
FORM^163^DIST(.403,^22.2^141
BLOCK^580^DIST(.404,^22.2^526
FOREIGN FORMAT^11^DIST(.44,^22.2^.999
IMPORT TEMPLATE^0^DIST(.46,^22.2^
FUNCTION^173^DD("FUNC",^22.2^209
DD AUDIT^^DDA(^22.2^
MUMPS OPERATING SYSTEM^8^DD("OS",^22.2^100
DATA TYPE^19^DI(.81,^22.2^99
COMPILED ROUTINE^^DI(.83,^22.2^
DIALOG^2566^DI(.84,^22.2^9549
LANGUAGE^534^DI(.85,^22.2^18
DATA TYPE PROPERTY^16^DI(.86,^22.2^7.1
DATA TYPE METHOD^6^DI(.87,^22.2^23
META DATA DICTIONARY^^DDD(^22.2^
FILE^2792^DIC(^22.2^19200.114
AUDIT^^DIA(^22.2^
ARCHIVAL ACTIVITY^^DIAR(1.11,^22.2^
FILEGRAM HISTORY^^DIAR(1.12,^22.2^
FILEGRAM ERROR LOG^^DIAR(1.13,^22.2^
ALTERNATE EDITOR^4^DIST(1.2,^22.2^9
SQLI_SCHEMA^^DMSQ("S",^22.2^
SQLI_KEY_WORD^0^DMSQ("K",^22.2^
SQLI_DATA_TYPE^^DMSQ("DT",^22.2^
SQLI_DOMAIN^^DMSQ("DM",^22.2^
SQLI_KEY_FORMAT^^DMSQ("KF",^22.2^
SQLI_OUTPUT_FORMAT^^DMSQ("OF",^22.2^
SQLI_TABLE^^DMSQ("T",^22.2^
SQLI_TABLE_ELEMENT^^DMSQ("E",^22.2^
SQLI_COLUMN^^DMSQ("C",^22.2^
SQLI_PRIMARY_KEY^^DMSQ("P",^22.2^
SQLI_FOREIGN_KEY^^DMSQ("F",^22.2^
SQLI_ERROR_TEXT^^DMSQ("ET",^22.2^
SQLI_ERROR_LOG^^DMSQ("EX",^22.2^
POLICY^^DIAC(1.6,^22.2^
APPLICATION ACTION^^DIAC(1.61,^22.2^
POLICY FUNCTION^7^DIAC(1.62,^22.2^7
WORLD TIMEZONE^29^DIT(1.71,^22.2^29
WORLD DAYLIGHT SAVING^22^DIT(1.72,^22.2^22
PATIENT^3^DPT(^5.3^3
FAILED ACCESS ATTEMPTS LOG^0^%ZUA(3.05,^8.0^
PROGRAMMER MODE LOG^1106^%ZUA(3.07,^8.0^3180910.151628
ERROR LOG^29^%ZTER(1,^8.0^64908
ERROR MESSAGES^^%ZTER(2,^8.0^
ERROR TRAP SUMMARY^111^%ZTER(3.077,^8.0^111
SIGN-ON LOG^157^XUSEC(0,^8.0^3180914.141109
LOCKED IP or DEVICE^^XUSEC(3,^8.0^
FAILED SIGNON ATTEMPTS^0^XUSEC(4,^8.0^
TITLE^3^DIC(3.1,^8.0^3
TERMINAL TYPE^359^%ZIS(2,^8.0^359
DA RETURN CODES^15^%ZIS(3.22,^8.0^15
LINE/PORT ADDRESS^^%ZIS(3.23,^8.0^
COMMUNICATIONS PROTOCOL^27^DIC(3.4,^8.0^27
DEVICE^53^%ZIS(1,^8.0^53
SPOOL DOCUMENT^0^XMB(3.51,^8.0^
SPOOL DATA^^XMBS(3.519,^8.0^
PRINT QUEUE JOB^^%ZIS(3.52,^8.0^
RESOURCE^16^%ZISL(3.54,^8.0^16
BULLETIN^188^XMB(3.6,^8.0^208
MAILBOX^32^XMB(3.7,^8.0^54
MESSAGES TO BE NEW AT A LATER DATE^0^XMB(3.73,^8.0^
MAIL GROUP^319^XMB(3.8,^8.0^332
DISTRIBUTION LIST^0^XMB(3.816,^8.0^
MESSAGE^4203^XMB(3.9,^8.0^4224
INSTITUTION^3775^DIC(4,^8.0^4196
MASTER FILE PARAMETERS^40^DIC(4.001,^8.0^50.60699
MD5 Signature^39^DIC(4.005,^8.0^50.60699
STANDARD TERMINOLOGY VERSION FILE^1^DIC(4.009,^8.0^1
INSTITUTION ASSOCIATION TYPES^2^DIC(4.05,^8.0^2
FACILITY TYPE^86^DIC(4.1,^8.0^86
AGENCY^8^DIC(4.11,^8.0^8
DOMAIN^97^DIC(4.2,^8.0^102
INTER-UCI TRANSFER^^%ZISL(4.281,^8.0^
